engine	nb.particles	cycle.time
d3	1	1002
d3	1	1000
d3	1	1002
d3	1	1001
d3	1	1000
d3	1	1001
d3	1	1000
d3	1	1001
d3	1	1002
d3	1	1001
d3	1	1000
d3	1	1002
d3	1	1001
d3	1	1000
d3	1	1001
d3	1	1000
d3	1	1002
d3	1	1000
d3	1	1002
d3	1	1001
d3	1	1002
d3	1	1001
d3	1	1002
d3	1	1001
d3	1	1002
d3	1	1000
d3	1	1001
d3	1	1002
d3	1	1001
d3	1	1002
d3	1	1001
d3	1	1002
d3	1	1001
d3	1	1000
d3	1	1001
d3	1	1000
d3	1	1002
d3	1	1000
d3	1	1001
d3	1	1002
d3	1	1003
d3	1	1002
d3	1	1004
d3	1	1002
d3	1	1001
d3	1	1002
d3	1	1003
d3	1	1002
d3	1	1003
d3	1	1004
d3	1	1002
d3	1	1001
d3	1	1002
d3	1	1001
d3	1	1002
d3	10	1002
d3	10	1001
d3	10	1002
d3	10	1003
d3	10	1002
d3	10	1001
d3	10	1002
d3	10	1004
d3	10	1003
d3	10	1002
d3	10	1001
d3	10	1003
d3	10	1002
d3	10	1004
d3	10	1002
d3	10	1001
d3	10	1002
d3	10	1003
d3	10	1004
d3	10	1002
d3	100	1002
d3	100	1003
d3	100	1002
d3	100	1003
d3	100	1002
d3	100	1004
d3	100	1006
d3	100	1004
d3	100	1003
d3	100	1004
d3	100	1002
d3	100	1003
d3	100	1002
d3	100	1003
d3	100	1005
d3	100	1003
d3	100	1002
d3	100	1003
d3	100	1005
d3	100	1002
d3	100	1003
d3	100	1004
d3	100	1003
d3	100	1002
d3	100	1003
d3	100	1004
d3	100	1003
d3	100	1001
d3	100	1003
d3	100	1002
d3	100	1003
d3	100	1004
d3	100	1002
d3	100	1003
d3	100	1004
d3	1000	1019
d3	1000	1043
d3	1000	1006
d3	1000	1020
d3	1000	1013
d3	1000	1017
d3	1000	1021
d3	1000	1013
d3	1000	1017
d3	1000	1015
d3	1000	1017
d3	1000	1018
d3	1000	1024
d3	1000	1008
d3	1000	1018
d3	1000	1014
d3	1000	1020
d3	1000	1013
d3	1000	1019
d3	1000	1018
d3	1000	1016
d3	1000	1010
d3	1000	1007
d3	10000	1149
d3	10000	1126
d3	10000	1142
d3	10000	1154
d3	10000	1080
d3	10000	1121
d3	10000	1094
d3	10000	1118
d3	10000	1143
d3	10000	1192
d3	10000	1163
d3	10000	1130
d3	10000	1139
d3	10000	1113
d3	10000	1183
d3	10000	1303
d3	10000	1235
