browser	engine	n	opacity	refresh	cpu	gpu	fps
chrome	d3	0	1	1000	0.01	0.01	60
chrome	d3	1	1	1000	0.16	0.12	60
chrome	d3	10	1	1000	0.25	0.14	60
chrome	d3	100	1	1000	0.34	0.13	60
chrome	d3	1000	1	1000	1.00	0.13	60
chrome	d3	5000	1	1000	1.1	0.03	13
chrome	d3	10000	1	1000	1.1	0.025	6
chrome	d3	20000	1	1000	1.1	0.015	3
chrome	pixi	0	1	1000	0.09	0.07	60
chrome	pixi	1	1	1000	0.13	0.13	60
chrome	pixi	10	1	1000	0.21	0.14	60
chrome	pixi	100	1	1000	0.22	0.17	60
chrome	pixi	1000	1	1000	0.34	0.36	60
chrome	pixi	5000	1	1000	0.60	0.76	58
chrome	pixi	10000	1	1000	0.76	1.02	25
chrome	pixi	20000	1	1000	0.70	0.97	12
chrome	css	0	1	1000	0	0	60
chrome	css	1	1	1000	0.14	0.08	60
chrome	css	10	1	1000	0.21	0.14	60
chrome	css	100	1	1000	0.35	0.14	60
chrome	css	1000	1	1000	1.1	0.15	59
chrome	css	5000	1	1000	1.15	0.08	15
chrome	css	10000	1	1000	1.11	0.02	5
chrome	css	20000	1	1000	1.07	0.02	1.5
chrome	pixi-canvas	0	1	1000	0.09	0.07	60
chrome	pixi-canvas	1	1	1000	0.12	0.08	60
chrome	pixi-canvas	10	1	1000	0.13	0.09	60
chrome	pixi-canvas	100	1	1000	0.18	0.09	60
chrome	pixi-canvas	1000	1	1000	0.55	0.18	60
chrome	pixi-canvas	5000	1	1000	1.00	0.3	30
chrome	pixi-canvas	10000	1	1000	1.00	0.3	14
chrome	pixi-canvas	20000	1	1000	0.97	0.25	6
chrome	d3	100	0.5	1000	0.35	0.13	60
chrome	d3	1000	0.5	1000	0.88	0.12	58
chrome	d3	5000	0.5	1000	1.12	0.04	15
chrome	d3	10000	0.5	1000	1.12	0.025	7
chrome	d3	20000	0.5	1000	1.11	0.02	3
chrome	pixi	100	0.5	1000	0.23	0.17	60
chrome	pixi	1000	0.5	1000	0.34	0.36	60
chrome	pixi	5000	0.5	1000	0.6	0.9	60
chrome	pixi	10000	0.5	1000	0.7	1.0	25
chrome	pixi	20000	0.5	1000	0.73	.98	12
firefox	d3	1	1	1000	0.24	NA	60
firefox	d3	10	1	1000	0.28	NA	60
firefox	d3	100	1	1000	0.47	NA	60
firefox	d3	1000	1	1000	1.07	NA	NA
firefox	d3	5000	1	1000	1.08	NA	NA
firefox	d3	10000	1	1000	1.08	NA	NA
firefox	pixi	1	1	1000	0.28	NA	NA
firefox	pixi	10	1	1000	0.28	NA	NA
firefox	pixi	100	1	1000	0.29	NA	NA
firefox	pixi	1000	1	1000	0.88	NA	NA
firefox	pixi	5000	1	1000	1.7	NA	NA
firefox	pixi	10000	1	1000	1.8	NA	NA

